,"Educational attainment, year, and age",Number with earnings (thousands)-Male,Mean earnings Current dollars-Male,Mean earnings 2020 dollars-Male,Number with earnings (thousands)-Female,Mean earnings Current dollars-Female,Mean earnings 2020 dollars-Female,education_attainment,year
1969,65 years and over,180,33923,46600,265,18894,25955,Associate Degree,2004
1974,Total,6211,43463,61318,7261,29538,41672,Associate Degree,2003
1975,18 to 24 years,491,19668,27748,555,16231,22899,Associate Degree,2003
1976,25 to 34 years,1509,38345,54097,1534,26305,37111,Associate Degree,2003
1977,35 to 44 years,1700,47367,66826,2098,31211,44033,Associate Degree,2003
1978,45 to 54 years,1619,49886,70380,1975,34645,48877,Associate Degree,2003
1979,55 to 64 years,749,48962,69076,893,30908,43605,Associate Degree,2003
1980,65 years and over,143,31137,43928,206,17478,24658,Associate Degree,2003
1985,Total,5898,42392,61165,7088,27341,39449,Associate Degree,2002
1986,18 to 24 years,493,21109,30457,559,15512,22381,Associate Degree,2002
1987,25 to 34 years,1443,36846,53163,1583,25023,36104,Associate Degree,2002
1988,35 to 44 years,1690,48579,70092,2121,28562,41211,Associate Degree,2002
1989,45 to 54 years,1406,50297,72571,1880,30843,44502,Associate Degree,2002
1990,55 to 64 years,720,41222,59477,788,29027,41882,Associate Degree,2002
1991,65 years and over,145,27030,39000,157,25882,37344,Associate Degree,2002
1996,Total,6062,42891,62861,6847,27531,40349,Associate Degree,2001
1997,18 to 24 years,456,21213,31090,483,17077,25028,Associate Degree,2001
1998,25 to 34 years,1483,38821,56896,1531,24686,36180,Associate Degree,2001
1999,35 to 44 years,1811,46912,68754,2153,28993,42492,Associate Degree,2001
2000,45 to 54 years,1539,46824,68625,1837,30108,44126,Associate Degree,2001
2001,55 to 64 years,640,49903,73137,700,31531,46212,Associate Degree,2001
2002,65 years and over,133,28611,41932,142,18513,27132,Associate Degree,2001
2007,Total,6081,41953,63236,6927,26572,40052,Associate Degree,2000
2008,18 to 24 years,514,20183,30422,596,15171,22867,Associate Degree,2000
2009,25 to 34 years,1429,37761,56918,1748,25376,38250,Associate Degree,2000
2010,35 to 44 years,1858,45684,68860,2139,27740,41813,Associate Degree,2000
2011,45 to 54 years,1583,47216,71169,1704,30854,46507,Associate Degree,2000
2012,55 to 64 years,550,49040,73919,603,27576,41566,Associate Degree,2000
2013,65 years and over,147,28424,42844,138,15590,23499,Associate Degree,2000
2018,Total,5667,40049,62415,6350,25061,39057,Associate Degree,1999
2019,18 to 24 years,442,18040,28115,441,13263,20670,Associate Degree,1999
2020,25 to 34 years,1390,34324,53493,1682,22893,35678,Associate Degree,1999
2021,35 to 44 years,1763,45187,70422,2019,26797,41762,Associate Degree,1999
2022,45 to 54 years,1421,46913,73112,1535,28587,44552,Associate Degree,1999
2023,55 to 64 years,510,43316,67506,513,28022,43671,Associate Degree,1999
2024,65 years and over,141,20231,31529,160,15118,23561,Associate Degree,1999
2029,Total,5530,40082,63796,5949,25390,40412,Associate Degree,1998
2030,18 to 24 years,431,23609,37577,517,13453,21412,Associate Degree,1998
2031,25 to 34 years,1460,35504,56510,1571,22448,35729,Associate Degree,1998
2032,35 to 44 years,1686,43700,69555,1946,27593,43918,Associate Degree,1998
2033,45 to 54 years,1396,41848,66607,1319,31116,49526,Associate Degree,1998
2034,55 to 64 years,424,51684,82263,451,26204,41708,Associate Degree,1998
2035,65 years and over,133,42344,67397,145,15674,24948,Associate Degree,1998
2040,Total,5454,36392,58708,6064,24009,38731,Associate Degree,1997
2041,18 to 24 years,451,17671,28507,562,14535,23448,Associate Degree,1997
2042,25 to 34 years,1520,31371,50608,1641,20981,33847,Associate Degree,1997
2043,35 to 44 years,1714,39728,64089,1983,26120,42137,Associate Degree,1997
2044,45 to 54 years,1289,41087,66282,1307,29844,48144,Associate Degree,1997
2045,55 to 64 years,383,42546,68635,455,23245,37499,Associate Degree,1997
2046,65 years and over,98,56389,90967,117,13993,22574,Associate Degree,1997
2051,Total,5096,35484,58480,5887,22480,37049,Associate Degree,1996
2052,18 to 24 years,403,16447,27106,442,12300,20271,Associate Degree,1996
2053,25 to 34 years,1519,32388,53378,1678,21683,35735,Associate Degree,1996
2054,35 to 44 years,1528,38680,63748,1996,24128,39765,Associate Degree,1996
2055,45 to 54 years,1149,40986,67548,1232,25719,42387,Associate Degree,1996
2056,55 to 64 years,368,44860,73933,415,21674,35720,Associate Degree,1996
2057,65 years and over,129,17769,29285,123,13524,22289,Associate Degree,1996
2062,Total,5116,33881,57326,5833,22429,37949,Associate Degree,1995
2063,18 to 24 years,418,14813,25063,480,12869,21774,Associate Degree,1995
2064,25 to 34 years,1519,28867,48842,1716,20235,34237,Associate Degree,1995
2065,35 to 44 years,1608,39011,66005,1892,24618,41653,Associate Degree,1995
2066,45 to 54 years,1132,39713,67193,1148,24864,42069,Associate Degree,1995
2067,55 to 64 years,339,39292,66481,455,29140,49304,Associate Degree,1995
2068,65 years and over,101,23093,39073,143,10991,18596,Associate Degree,1995
2073,Total,4955,33224,57568,5717,20416,35375,Associate Degree,1994
2074,18 to 24 years,395,14708,25485,536,10990,19043,Associate Degree,1994
2075,25 to 34 years,1487,28262,48970,1747,19532,33844,Associate Degree,1994
2076,35 to 44 years,1586,36523,63284,1847,22220,38501,Associate Degree,1994
2077,45 to 54 years,1043,40889,70849,1072,23692,41052,Associate Degree,1994
2078,55 to 64 years,358,41022,71080,407,21689,37581,Associate Degree,1994
2079,65 years and over,86,17663,30605,109,13366,23160,Associate Degree,1994
2084,Total,4905,30072,53195,5640,19943,35277,Associate Degree,1993
2085,18 to 24 years,453,12213,21604,579,11889,21031,Associate Degree,1993
2086,25 to 34 years,1485,27352,48383,1807,19436,34381,Associate Degree,1993
2087,35 to 44 years,1635,34063,60254,1746,22198,39266,Associate Degree,1993
2088,45 to 54 years,889,36440,64459,987,22667,40096,Associate Degree,1993
2089,55 to 64 years,325,34507,61040,370,19158,33889,Associate Degree,1993
2090,65 years and over,118,17262,30535,152,14988,26512,Associate Degree,1993
2095,Total,4514,29864,54159,4985,19264,34935,Associate Degree,1992
2096,18 to 24 years,448,13962,25320,605,11007,19961,Associate Degree,1992
2097,25 to 34 years,1426,26655,48339,1576,19494,35353,Associate Degree,1992
2098,35 to 44 years,1501,32314,58602,1562,21000,38084,Associate Degree,1992
2099,45 to 54 years,760,39093,70896,833,22105,40088,Associate Degree,1992
2100,55 to 64 years,297,33361,60501,325,20215,36660,Associate Degree,1992
2101,65 years and over,83,29518,53531,85,10380,18824,Associate Degree,1992
2106,Total,4014,29793,55373,4560,19317,35903,Associate Degree,1991
2107,18 to 24 years,351,12712,23627,460,11575,21513,Associate Degree,1991
2108,25 to 34 years,1232,26087,48485,1495,18529,34438,Associate Degree,1991
2109,35 to 44 years,1435,34919,64901,1459,21782,40484,Associate Degree,1991
2110,45 to 54 years,580,36929,68636,796,20666,38410,Associate Degree,1991
2111,55 to 64 years,312,28780,53491,268,21196,39395,Associate Degree,1991
2112,65 years and over,103,23865,44356,82,13981,25985,Associate Degree,1991
2118,Total,32023,103598,103598,34122,67507,67507,Bachelor's Degree or More,2020
2119,18 to 24 years,1284,38854,38854,1729,33975,33975,Bachelor's Degree or More,2020
2120,25 to 34 years,7672,74903,74903,9047,59794,59794,Bachelor's Degree or More,2020
2121,35 to 44 years,7717,114178,114178,8165,75661,75661,Bachelor's Degree or More,2020
2122,45 to 54 years,6870,126973,126973,7373,77127,77127,Bachelor's Degree or More,2020
2123,55 to 64 years,5395,121193,121193,5672,71577,71577,Bachelor's Degree or More,2020
2124,65 years and over,3085,92627,92627,2136,52131,52131,Bachelor's Degree or More,2020
2129,Total,32372,102548,103828,33946,69061,69923,Bachelor's Degree or More,2019
2130,18 to 24 years,1327,38868,39353,1868,39172,39661,Bachelor's Degree or More,2019
2131,25 to 34 years,7747,75138,76076,8992,58105,58830,Bachelor's Degree or More,2019
2132,35 to 44 years,7619,112187,113587,8077,76522,77478,Bachelor's Degree or More,2019
2133,45 to 54 years,6829,124405,125958,7345,82441,83470,Bachelor's Degree or More,2019
2134,55 to 64 years,5614,123880,125426,5439,72480,73385,Bachelor's Degree or More,2019
2135,65 years and over,3236,88461,89565,2224,58812,59546,Bachelor's Degree or More,2019
2140,Total,31113,98421,101455,32237,65468,67486,Bachelor's Degree or More,2018
2141,18 to 24 years,1233,38425,39610,1758,33111,34132,Bachelor's Degree or More,2018
2142,25 to 34 years,7746,73520,75786,8283,56501,58243,Bachelor's Degree or More,2018
2143,35 to 44 years,7168,106003,109271,7789,74475,76771,Bachelor's Degree or More,2018
2144,45 to 54 years,6411,124795,128642,6993,75779,78115,Bachelor's Degree or More,2018
2145,55 to 64 years,5453,116180,119762,5159,69583,71728,Bachelor's Degree or More,2018
2146,65 years and over,3103,81203,83706,2255,51125,52701,Bachelor's Degree or More,2018
2151,Total,30569,95911,101278,30948,63154,66688,Bachelor's Degree or More,2017
2152,18 to 24 years,1147,40533,42801,1635,32340,34150,Bachelor's Degree or More,2017
2153,25 to 34 years,7445,72679,76746,8108,53852,56865,Bachelor's Degree or More,2017
2154,35 to 44 years,7192,103668,109469,7417,69841,73749,Bachelor's Degree or More,2017
2155,45 to 54 years,6442,113089,119417,6693,71824,75843,Bachelor's Degree or More,2017
2156,55 to 64 years,5353,113409,119755,5077,72237,76279,Bachelor's Degree or More,2017
2157,65 years and over,2990,88015,92940,2017,49314,52073,Bachelor's Degree or More,2017
2162,Total,30530,95133,100456,30902,62787,66300,Bachelor's Degree or More,2017
2163,18 to 24 years,1170,40545,42814,1625,31607,33376,Bachelor's Degree or More,2017
2164,25 to 34 years,7383,74713,78894,8125,53766,56775,Bachelor's Degree or More,2017
2165,35 to 44 years,7176,100368,105984,7408,70522,74468,Bachelor's Degree or More,2017
2166,45 to 54 years,6473,112020,118288,6701,70911,74879,Bachelor's Degree or More,2017
2167,55 to 64 years,5338,112049,118319,5048,70343,74279,Bachelor's Degree or More,2017
2168,65 years and over,2990,87592,92493,1995,49793,52579,Bachelor's Degree or More,2017
2173,Total,29223,94608,102050,29689,60717,65493,Bachelor's Degree or More,2016
2174,18 to 24 years,1105,42136,45451,1586,29405,31718,Bachelor's Degree or More,2016
2175,25 to 34 years,6892,69696,75179,7689,51485,55535,Bachelor's Degree or More,2016
2176,35 to 44 years,6806,104669,112903,7179,66952,72219,Bachelor's Degree or More,2016
2177,45 to 54 years,6319,116676,125854,6395,70809,76379,Bachelor's Degree or More,2016
2178,55 to 64 years,5196,106229,114585,4956,69000,74428,Bachelor's Degree or More,2016
2179,65 years and over,2905,81313,87709,1883,44943,48478,Bachelor's Degree or More,2016
2184,Total,28826,92121,100649,28722,58706,64141,Bachelor's Degree or More,2015
2185,18 to 24 years,1043,39216,42846,1474,28873,31546,Bachelor's Degree or More,2015
2186,25 to 34 years,6868,66816,73002,7362,51683,56468,Bachelor's Degree or More,2015
2187,35 to 44 years,6524,102350,111825,6875,63203,69054,Bachelor's Degree or More,2015
2188,45 to 54 years,6430,112075,122451,6366,67610,73869,Bachelor's Degree or More,2015
2189,55 to 64 years,5205,105716,115503,4904,64272,70222,Bachelor's Degree or More,2015
2190,65 years and over,2755,78748,86038,1740,47669,52082,Bachelor's Degree or More,2015
2195,Total,27621,88520,96881,27630,54893,60078,Bachelor's Degree or More,2014
2196,18 to 24 years,1095,33478,36640,1444,26756,29283,Bachelor's Degree or More,2014
2197,25 to 34 years,6503,65282,71448,7076,47131,51583,Bachelor's Degree or More,2014
2198,35 to 44 years,6253,98396,107690,6621,62237,68116,Bachelor's Degree or More,2014
2199,45 to 54 years,6315,110946,121426,6212,61913,67761,Bachelor's Degree or More,2014
2200,55 to 64 years,4986,95053,104032,4696,59457,65073,Bachelor's Degree or More,2014
2201,65 years and over,2469,78558,85978,1581,43441,47544,Bachelor's Degree or More,2014
2206,Total,27132,89388,99488,27248,53412,59447,Bachelor's Degree or More,2013
2207,18 to 24 years,1259,33369,37139,1440,31758,35346,Bachelor's Degree or More,2013
2208,25 to 34 years,6103,65964,73417,6940,44442,49464,Bachelor's Degree or More,2013
2209,35 to 44 years,6229,96536,107444,6467,56191,62540,Bachelor's Degree or More,2013
2210,45 to 54 years,5994,108045,120253,6240,60184,66984,Bachelor's Degree or More,2013
2211,55 to 64 years,5150,103222,114885,4753,62763,69855,Bachelor's Degree or More,2013
2212,65 years and over,2398,83506,92942,1408,45434,50568,Bachelor's Degree or More,2013
2217,Total,26851,87630,97532,26833,53670,59734,Bachelor's Degree or More,2013
2218,18 to 24 years,1064,34257,38128,1548,24835,27641,Bachelor's Degree or More,2013
2219,25 to 34 years,6205,61456,68400,6942,46144,51358,Bachelor's Degree or More,2013
2220,35 to 44 years,6144,97196,108178,6382,58881,65534,Bachelor's Degree or More,2013
2221,45 to 54 years,6266,105793,117747,5914,61460,68405,Bachelor's Degree or More,2013
2222,55 to 64 years,4789,101939,113457,4590,59920,66691,Bachelor's Degree or More,2013
2223,65 years and over,2383,78420,87281,1457,46043,51246,Bachelor's Degree or More,2013
2228,Total,26745,86127,97279,25987,54463,61515,Bachelor's Degree or More,2012
2229,18 to 24 years,1103,30751,34733,1341,23004,25983,Bachelor's Degree or More,2012
2230,25 to 34 years,6023,62030,70062,6743,46519,52542,Bachelor's Degree or More,2012
2231,35 to 44 years,6194,94523,106762,6202,60368,68185,Bachelor's Degree or More,2012
2232,45 to 54 years,6217,103487,116887,5916,61295,69232,Bachelor's Degree or More,2012
2233,55 to 64 years,4933,96827,109364,4514,62329,70399,Bachelor's Degree or More,2012
2234,65 years and over,2276,83274,94056,1272,41252,46593,Bachelor's Degree or More,2012
2239,Total,25872,84497,97459,25116,53823,62080,Bachelor's Degree or More,2011
2240,18 to 24 years,976,29839,34416,1313,25079,28926,Bachelor's Degree or More,2011
2241,25 to 34 years,5758,60271,69517,6564,45467,52442,Bachelor's Degree or More,2011
2242,35 to 44 years,6119,91332,105343,6045,58687,67690,Bachelor's Degree or More,2011
2243,45 to 54 years,6004,103525,119406,5747,60796,70122,Bachelor's Degree or More,2011
2244,55 to 64 years,4989,96121,110866,4272,62510,72099,Bachelor's Degree or More,2011
2245,65 years and over,2027,74020,85375,1176,41924,48355,Bachelor's Degree or More,2011
2250,Total,25466,81656,97151,24488,51514,61289,Bachelor's Degree or More,2010
2251,18 to 24 years,944,33044,39315,1296,24463,29105,Bachelor's Degree or More,2010
2252,25 to 34 years,5562,57914,68904,6252,44074,52438,Bachelor's Degree or More,2010
2253,35 to 44 years,6039,89400,106365,5954,58329,69398,Bachelor's Degree or More,2010
2254,45 to 54 years,6015,96601,114932,5707,58145,69179,Bachelor's Degree or More,2010
2255,55 to 64 years,5055,94308,112204,4133,55267,65755,Bachelor's Degree or More,2010
2256,65 years and over,1851,69394,82562,1146,40723,48451,Bachelor's Degree or More,2010
2261,Total,24910,82083,99270,24077,50782,61415,Bachelor's Degree or More,2009
2262,18 to 24 years,913,29786,36023,1245,22142,26778,Bachelor's Degree or More,2009
2263,25 to 34 years,5560,58654,70936,6406,44026,53245,Bachelor's Degree or More,2009
2264,35 to 44 years,6102,92335,111669,5700,55828,67518,Bachelor's Degree or More,2009
2265,45 to 54 years,5876,101267,122471,5666,58686,70974,Bachelor's Degree or More,2009
2266,55 to 64 years,4753,89249,107937,3984,55047,66573,Bachelor's Degree or More,2009
2267,65 years and over,1707,63724,77067,1076,39990,48364,Bachelor's Degree or More,2009
2272,Total,25010,83951,101176,23916,49590,59765,Bachelor's Degree or More,2008
2273,18 to 24 years,1011,29374,35401,1342,26214,31593,Bachelor's Degree or More,2008
2274,25 to 34 years,5467,62023,74749,6287,43948,52965,Bachelor's Degree or More,2008
2275,35 to 44 years,6230,92152,111060,5897,55372,66734,Bachelor's Degree or More,2008
2276,45 to 54 years,5932,103138,124300,5614,56377,67945,Bachelor's Degree or More,2008
2277,55 to 64 years,4710,93010,112094,3877,51502,62069,Bachelor's Degree or More,2008
2278,65 years and over,1660,64376,77585,899,35401,42665,Bachelor's Degree or More,2008
2283,Total,24840,81320,101770,23596,48515,60715,Bachelor's Degree or More,2007
2284,18 to 24 years,919,28135,35210,1278,24423,30565,Bachelor's Degree or More,2007
2285,25 to 34 years,5469,61185,76572,6187,43089,53925,Bachelor's Degree or More,2007
2286,35 to 44 years,6357,89264,111712,6002,52467,65661,Bachelor's Degree or More,2007
2287,45 to 54 years,5992,96599,120891,5753,56573,70800,Bachelor's Degree or More,2007
2288,55 to 64 years,4651,88977,111353,3541,50553,63266,Bachelor's Degree or More,2007
2289,65 years and over,1453,68459,85675,836,33022,41326,Bachelor's Degree or More,2007
2294,Total,24326,80942,104170,22450,48550,62482,Bachelor's Degree or More,2006
2295,18 to 24 years,836,28603,36811,1232,23631,30412,Bachelor's Degree or More,2006
2296,25 to 34 years,5338,60705,78125,5778,43050,55404,Bachelor's Degree or More,2006
2297,35 to 44 years,6396,90623,116629,5845,52064,67005,Bachelor's Degree or More,2006
2298,45 to 54 years,6070,97730,125775,5648,55479,71400,Bachelor's Degree or More,2006
2299,55 to 64 years,4385,83319,107229,3276,52528,67602,Bachelor's Degree or More,2006
2300,65 years and over,1301,63702,81982,672,33327,42891,Bachelor's Degree or More,2006
2305,Total,23463,79366,105452,21348,45494,60447,Bachelor's Degree or More,2005
2306,18 to 24 years,772,25051,33285,1183,22479,29868,Bachelor's Degree or More,2005
2307,25 to 34 years,5105,55771,74102,5493,39510,52496,Bachelor's Degree or More,2005
2308,35 to 44 years,6122,85984,114246,5780,49905,66308,Bachelor's Degree or More,2005
2309,45 to 54 years,6021,98618,131032,5319,52161,69306,Bachelor's Degree or More,2005
2310,55 to 64 years,4167,81341,108077,2959,48250,64109,Bachelor's Degree or More,2005
2311,65 years and over,1276,77567,103062,613,30793,40914,Bachelor's Degree or More,2005
2316,Total,22921,75631,103894,20875,43864,60256,Bachelor's Degree or More,2004
2317,18 to 24 years,817,25449,34959,1166,20903,28714,Bachelor's Degree or More,2004
2318,25 to 34 years,5087,53949,74109,5531,38100,52338,Bachelor's Degree or More,2004
2319,35 to 44 years,5989,85939,118054,5515,48046,66000,Bachelor's Degree or More,2004
2320,45 to 54 years,5944,89907,123505,5236,51026,70094,Bachelor's Degree or More,2004
2321,55 to 64 years,3835,83280,114401,2813,46867,64381,Bachelor's Degree or More,2004
2322,65 years and over,1250,55916,76811,614,26989,37075,Bachelor's Degree or More,2004
2327,Total,22869,73164,103220,20396,43324,61122,Bachelor's Degree or More,2003
2328,18 to 24 years,781,24190,34127,1228,19414,27389,Bachelor's Degree or More,2003
2329,25 to 34 years,5177,53436,75388,5431,40981,57816,Bachelor's Degree or More,2003
2330,35 to 44 years,6071,81190,114543,5292,46495,65595,Bachelor's Degree or More,2003
2331,45 to 54 years,5961,84717,119519,5286,48526,68461,Bachelor's Degree or More,2003
2332,55 to 64 years,3660,85195,120194,2637,46050,64968,Bachelor's Degree or More,2003
2333,65 years and over,1220,55758,78664,521,25353,35768,Bachelor's Degree or More,2003
2338,Total,22457,72958,105267,19921,41991,60587,Bachelor's Degree or More,2002
2339,18 to 24 years,687,25258,36443,1160,21229,30630,Bachelor's Degree or More,2002
2340,25 to 34 years,5178,52820,76211,5324,38431,55450,Bachelor's Degree or More,2002
2341,35 to 44 years,6074,82317,118771,5454,44412,64080,Bachelor's Degree or More,2002
2342,45 to 54 years,6036,87145,125737,5104,47888,69095,Bachelor's Degree or More,2002
2343,55 to 64 years,3444,77378,111645,2384,45482,65624,Bachelor's Degree or More,2002
2344,65 years and over,1039,53048,76540,494,24607,35504,Bachelor's Degree or More,2002
2349,Total,22140,72584,106378,19541,41338,60585,Bachelor's Degree or More,2001
2350,18 to 24 years,806,26277,38511,1124,23917,35053,Bachelor's Degree or More,2001
2351,25 to 34 years,5253,52703,77241,5533,38008,55704,Bachelor's Degree or More,2001
2352,35 to 44 years,6078,83613,122542,5317,44539,65276,Bachelor's Degree or More,2001
2353,45 to 54 years,5839,85253,124946,4960,46850,68663,Bachelor's Degree or More,2001
2354,55 to 64 years,3180,79807,116964,2126,42502,62291,Bachelor's Degree or More,2001
2355,65 years and over,984,50021,73310,481,22936,33615,Bachelor's Degree or More,2001
2360,Total,21818,71297,107467,18870,39612,59708,Bachelor's Degree or More,2000
2361,18 to 24 years,812,27564,41548,1200,21322,32139,Bachelor's Degree or More,2000
2362,25 to 34 years,5167,54060,81485,5277,36229,54609,Bachelor's Degree or More,2000
2363,35 to 44 years,6077,78528,118366,5261,43789,66004,Bachelor's Degree or More,2000
2364,45 to 54 years,5898,84055,126697,4761,44830,67573,Bachelor's Degree or More,2000
2365,55 to 64 years,2795,80543,121404,1888,39492,59527,Bachelor's Degree or More,2000
2366,65 years and over,1070,52189,78665,483,25529,38480,Bachelor's Degree or More,2000
2371,Total,21157,66835,104160,18282,36783,57325,Bachelor's Degree or More,1999
2372,18 to 24 years,655,21285,33172,1055,19149,29843,Bachelor's Degree or More,1999
2373,25 to 34 years,5227,50065,78024,5218,34193,53289,Bachelor's Degree or More,1999
2374,35 to 44 years,5898,70960,110589,5101,40028,62382,Bachelor's Degree or More,1999
2375,45 to 54 years,5677,79749,124286,4736,41075,64014,Bachelor's Degree or More,1999
2376,55 to 64 years,2666,78982,123091,1748,37763,58852,Bachelor's Degree or More,1999
2377,65 years and over,1033,54701,85249,425,21519,33537,Bachelor's Degree or More,1999
2382,Total,20428,62588,99618,17484,35431,56394,Bachelor's Degree or More,1998
2383,18 to 24 years,655,21902,34860,1003,17779,28298,Bachelor's Degree or More,1998
2384,25 to 34 years,5026,45459,72355,5075,32094,51082,Bachelor's Degree or More,1998
2385,35 to 44 years,5911,68551,109109,5150,40608,64634,Bachelor's Degree or More,1998
2386,45 to 54 years,5327,74534,118632,4298,39610,63045,Bachelor's Degree or More,1998
2387,55 to 64 years,2527,75313,119872,1550,33067,52631,Bachelor's Degree or More,1998
2388,65 years and over,982,43951,69955,407,19930,31722,Bachelor's Degree or More,1998
2393,Total,19737,59594,96137,16890,33753,54450,Bachelor's Degree or More,1997
2394,18 to 24 years,698,20473,33027,952,18795,30320,Bachelor's Degree or More,1997
2395,25 to 34 years,4950,43584,70310,5107,31122,50206,Bachelor's Degree or More,1997
2396,35 to 44 years,5767,64447,103966,4963,37487,60474,Bachelor's Degree or More,1997
2397,45 to 54 years,5117,70643,113962,3958,38210,61641,Bachelor's Degree or More,1997
2398,55 to 64 years,2339,75140,121216,1470,31795,51292,Bachelor's Degree or More,1997
2399,65 years and over,865,43015,69392,440,20962,33816,Bachelor's Degree or More,1997
2404,Total,19198,56277,92749,16111,32715,53917,Bachelor's Degree or More,1996
2405,18 to 24 years,695,19465,32080,950,17527,28886,Bachelor's Degree or More,1996
2406,25 to 34 years,5046,39618,65293,4986,28504,46977,Bachelor's Degree or More,1996
2407,35 to 44 years,5539,65930,108658,4763,36878,60778,Bachelor's Degree or More,1996
2408,45 to 54 years,4973,67888,111885,3715,36686,60461,Bachelor's Degree or More,1996
2409,55 to 64 years,2126,61028,100579,1354,32515,53587,Bachelor's Degree or More,1996
2410,65 years and over,819,42056,69311,343,35956,59258,Bachelor's Degree or More,1996
2415,Total,18932,54396,92036,15612,30058,50857,Bachelor's Degree or More,1995
2416,18 to 24 years,789,16641,28156,933,16165,27351,Bachelor's Degree or More,1995
2417,25 to 34 years,5042,39529,66882,4927,27564,46637,Bachelor's Degree or More,1995
2418,35 to 44 years,5454,64076,108414,4891,33043,55908,Bachelor's Degree or More,1995
2419,45 to 54 years,4735,65361,110589,3384,34020,57561,Bachelor's Degree or More,1995
2420,55 to 64 years,2074,59456,100598,1129,31728,53683,Bachelor's Degree or More,1995
2421,65 years and over,838,41919,70926,348,16717,28285,Bachelor's Degree or More,1995
2426,Total,18987,53560,92805,14881,30536,52911,Bachelor's Degree or More,1994
2427,18 to 24 years,739,16896,29276,1040,15753,27296,Bachelor's Degree or More,1994
2428,25 to 34 years,4962,36101,62553,4574,27065,46896,Bachelor's Degree or More,1994
2429,35 to 44 years,5710,61600,106736,4602,35587,61663,Bachelor's Degree or More,1994
2430,45 to 54 years,4746,65760,113944,3232,35009,60661,Bachelor's Degree or More,1994
2431,55 to 64 years,2059,62405,108131,1086,29201,50597,Bachelor's Degree or More,1994
2432,65 years and over,771,42801,74162,347,16126,27942,Bachelor's Degree or More,1994
2437,Total,18112,52102,92164,14223,28785,50918,Bachelor's Degree or More,1993
2438,18 to 24 years,808,15926,28172,985,13730,24287,Bachelor's Degree or More,1993
2439,25 to 34 years,4653,38048,67303,4390,26680,47195,Bachelor's Degree or More,1993
2440,35 to 44 years,5790,57212,101203,4539,31647,55981,Bachelor's Degree or More,1993
2441,45 to 54 years,4239,69204,122416,2925,33431,59136,Bachelor's Degree or More,1993
2442,55 to 64 years,1864,53627,94861,1106,30349,53685,Bachelor's Degree or More,1993
2443,65 years and over,758,38482,68071,278,13514,23905,Bachelor's Degree or More,1993
2448,Total,17652,46439,84218,13855,26856,48704,Bachelor's Degree or More,1992
2449,18 to 24 years,757,16098,29194,1005,13567,24604,Bachelor's Degree or More,1992
2450,25 to 34 years,4867,35658,64666,4409,25282,45849,Bachelor's Degree or More,1992
2451,35 to 44 years,5529,52620,95427,4408,29219,52989,Bachelor's Degree or More,1992
2452,45 to 54 years,3844,57273,103865,2727,31313,56786,Bachelor's Degree or More,1992
2453,55 to 64 years,1940,50480,91546,1031,28304,51330,Bachelor's Degree or More,1992
2454,65 years and over,714,34963,63406,275,13132,23815,Bachelor's Degree or More,1992
2459,Total,17280,44169,82093,13294,25810,47971,Bachelor's Degree or More,1991
2460,18 to 24 years,744,13730,25519,844,13820,25686,Bachelor's Degree or More,1991
2461,25 to 34 years,4731,34368,63877,4420,24109,44809,Bachelor's Degree or More,1991
2462,35 to 44 years,5469,48977,91029,4330,27990,52022,Bachelor's Degree or More,1991
2463,45 to 54 years,3689,54375,101062,2400,30540,56762,Bachelor's Degree or More,1991
2464,55 to 64 years,1877,51271,95293,1014,25883,48106,Bachelor's Degree or More,1991
2465,65 years and over,769,33438,62148,287,14527,27000,Bachelor's Degree or More,1991
2471,Total,20680,88447,88447,21229,58938,58938,Bachelor's Degree or More,2020
2472,18 to 24 years,1198,38236,38236,1604,33570,33570,Bachelor's Degree or More,2020
2473,25 to 34 years,5627,69108,69108,6076,54509,54509,Bachelor's Degree or More,2020
2474,35 to 44 years,4788,100012,100012,4586,64311,64311,Bachelor's Degree or More,2020
2475,45 to 54 years,4228,108536,108536,4229,67204,67204,Bachelor's Degree or More,2020
2476,55 to 64 years,3213,101925,101925,3501,64579,64579,Bachelor's Degree or More,2020
2477,65 years and over,1626,79437,79437,1233,49406,49406,Bachelor's Degree or More,2020
2482,Total,20828,87399,88490,21325,59260,59999,Bachelor's Degree or More,2019
2483,18 to 24 years,1204,37991,38466,1717,37214,37678,Bachelor's Degree or More,2019
2484,25 to 34 years,5665,69309,70174,6146,52278,52930,Bachelor's Degree or More,2019
2485,35 to 44 years,4851,97039,98251,4636,64532,65337,Bachelor's Degree or More,2019
2486,45 to 54 years,4056,104765,106073,4300,71344,72235,Bachelor's Degree or More,2019
2487,55 to 64 years,3348,107248,108587,3403,62828,63613,Bachelor's Degree or More,2019
2488,65 years and over,1703,74680,75612,1124,52330,52984,Bachelor's Degree or More,2019
2493,Total,20083,84803,87417,20148,57551,59325,Bachelor's Degree or More,2018
2494,18 to 24 years,1146,37886,39054,1637,32098,33088,Bachelor's Degree or More,2018
2495,25 to 34 years,5695,67286,69360,5540,52872,54502,Bachelor's Degree or More,2018
2496,35 to 44 years,4454,92679,95536,4473,64985,66988,Bachelor's Degree or More,2018
2497,45 to 54 years,3849,109466,112841,4224,65509,67528,Bachelor's Degree or More,2018
2498,55 to 64 years,3302,101386,104511,3062,63029,64972,Bachelor's Degree or More,2018
