,"Educational attainment, year, and age",Number with earnings (thousands)-Male,Mean earnings Current dollars-Male,Mean earnings 2020 dollars-Male,Number with earnings (thousands)-Female,Mean earnings Current dollars-Female,Mean earnings 2020 dollars-Female,education_attainment,year
314,65 years and over,2752,22886,39655,2055,10660,18471,Total,1994
319,Total,71183,30568,54072,61937,17900,31663,Total,1993
320,18 to 24 years,10440,10328,18269,9620,8309,14698,Total,1993
321,25 to 34 years,19300,25850,45726,16321,17989,31821,Total,1993
322,35 to 44 years,18885,37408,66171,16468,21309,37694,Total,1993
323,45 to 54 years,12897,44160,78115,11503,21764,38499,Total,1993
324,55 to 64 years,6927,34202,60500,5881,19203,33968,Total,1993
325,65 years and over,2734,20583,36409,2144,9753,17252,Total,1993
330,Total,71138,28148,51047,60753,17050,30920,Total,1992
331,18 to 24 years,10715,9911,17974,9604,8258,14976,Total,1992
332,25 to 34 years,19692,24635,44676,16360,17618,31950,Total,1992
333,35 to 44 years,18637,34660,62856,16255,19941,36163,Total,1992
334,45 to 54 years,12489,38588,69980,10920,20852,37815,Total,1992
335,55 to 64 years,7053,32840,59556,5705,17147,31096,Total,1992
336,65 years and over,2552,20219,36667,1909,9769,17716,Total,1992
341,Total,70145,27494,51101,60214,16320,30332,Total,1991
342,18 to 24 years,10097,9803,18220,9440,8227,15291,Total,1991
343,25 to 34 years,19746,24285,45136,16712,16672,30987,Total,1991
344,35 to 44 years,18255,33551,62358,15978,19498,36239,Total,1991
345,45 to 54 years,11970,37333,69387,10422,19690,36596,Total,1991
346,55 to 64 years,7296,32611,60611,5710,16117,29955,Total,1991
347,65 years and over,2780,18979,35274,1951,9039,16800,Total,1991
353,Total,2543,37474,37474,1274,20455,20455,Less than 9th grade,2020
354,18 to 24 years,91,22800,22800,57,(B),(B),Less than 9th grade,2020
355,25 to 34 years,356,43910,43910,116,15790,15790,Less than 9th grade,2020
356,35 to 44 years,669,38972,38972,348,20924,20924,Less than 9th grade,2020
357,45 to 54 years,702,32969,32969,314,20790,20790,Less than 9th grade,2020
358,55 to 64 years,509,34670,34670,303,19157,19157,Less than 9th grade,2020
359,65 years and over,216,49633,49633,136,24192,24192,Less than 9th grade,2020
364,Total,2450,33919,34343,1311,21755,22027,Less than 9th grade,2019
365,18 to 24 years,104,30471,30852,74,(B),(B),Less than 9th grade,2019
366,25 to 34 years,336,29604,29973,129,24107,24408,Less than 9th grade,2019
367,35 to 44 years,585,34999,35436,320,21822,22094,Less than 9th grade,2019
368,45 to 54 years,652,34416,34845,358,21839,22112,Less than 9th grade,2019
369,55 to 64 years,541,36863,37323,285,23066,23354,Less than 9th grade,2019
370,65 years and over,232,30732,31116,144,19599,19844,Less than 9th grade,2019
375,Total,2574,32998,34015,1329,20508,21140,Less than 9th grade,2018
